Common Name,Order,Family,Species Name,States
Broad-footed Mole,Eulipotyphla,Talpidae,Scapanus latimanus,"California, Nevada, Oregon"
Brown Bear,Carnivora,Ursidae,Ursus arctos,"Alaska, Idaho, Montana, Washington, Wyoming"
Brown Rat,Rodentia,Muridae,Rattus norvegicus,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Brush Deermouse,Rodentia,Cricetidae,Peromyscus boylii,"Arizona, California, Colorado, Idaho, Kansas, Montana, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Wyoming"
Brush Rabbit,Lagomorpha,Leporidae,Sylvilagus bachmani,"California, Oregon, Washington"
Brush-tailed Rock Wallaby,Diprotodontia,Macropodidae,Petrogale penicillata,Hawaii
Bryde's Whale,Artiodactyla,Balaenopteridae,Balaenoptera edeni,"Alabama, Florida, Georgia, Hawaii, Louisiana, Mississippi, North Carolina, South Carolina, Texas"
Bushy-tailed Woodrat,Rodentia,Cricetidae,Neotoma cinerea,"Alaska, Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Cactus Deermouse,Rodentia,Cricetidae,Peromyscus eremicus,"Arizona, California, New Mexico, Nevada, Texas, Utah"
California Chipmunk,Rodentia_other,Sciuridae,Tamias obscurus,California
California Deermouse,Rodentia,Cricetidae,Peromyscus californicus,California
California Ground Squirrel,Rodentia_other,Sciuridae,Otospermophilus beecheyi,"California, Nevada, Oregon, Washington"
California Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys californicus,"California, Oregon"
California Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus californicus,California
California Sea Lion,Carnivora,Otariidae,Zalophus californianus,"Alaska, California, Oregon, Washington"
California Vole,Rodentia,Cricetidae,Microtus californicus,"California, Oregon"
Californian Leaf-nosed Bat,Chiroptera,Phyllostomidae,Macrotus californicus,"Arizona, California, Nevada"
Californian Myotis,Chiroptera,Vespertilionidae,Myotis californicus,"Alaska, Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Texas, Utah, Washington"
Camas Pocket Gopher,Rodentia,Geomyidae,Thomomys bulbivorus,Oregon
Canada Lynx,Carnivora,Felidae,Lynx canadensis,"Alaska, Colorado, Idaho, Maine, Michigan, Minnesota, Montana, New Hampshire, New York, Oregon, Utah, Vermont, Washington, Wisconsin, Wyoming"
Canyon Bat,Chiroptera,Vespertilionidae,Parastrellus hesperus,"Arizona, California, Colorado, Idaho, New Mexico, Nevada, Oregon, Texas, Utah, Washington"
Canyon Deermouse,Rodentia,Cricetidae,Peromyscus crinitus,"Arizona, California, Colorado, Idaho, New Mexico, Nevada, Oregon, Utah, Wyoming"
Caribou,Artiodactyla,Cervidae,Rangifer tarandus,"Alaska, Oregon, Washington"
Cascade Golden-mantled Ground Squirrel,Rodentia_other,Sciuridae,Callospermophilus saturatus,Washington
Cave Myotis,Chiroptera,Vespertilionidae,Myotis velifer,"Arizona, Kansas, Nebraska, New Mexico, Oklahoma, Texas"
Central Texas Pocket Gopher,Rodentia,Geomyidae,Geomys texensis,Texas
Channel Islands Fox,Carnivora,Canidae,Urocyon littoralis,California
Chihuahuan Grasshopper Mouse,Rodentia,Cricetidae,Onychomys arenicola,"Colorado, New Mexico, Texas"
Chihuahuan Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus eremicus,"New Mexico, Texas"
Chisel-toothed Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys microps,"Arizona, California, Idaho, Nevada, Oregon, Utah"
Chital,Artiodactyla,Cervidae,Axis axis,Hawaii
Cliff Chipmunk,Rodentia_other,Sciuridae,Tamias dorsalis,"Arizona, Colorado, Idaho, New Mexico, Nevada, Utah, Wyoming"
Clymene Dolphin,Artiodactyla,Delphinidae,Stenella clymene,"Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Texas, Virginia"
Coast Mole,Eulipotyphla,Talpidae,Scapanus orarius,"California, Idaho, Oregon, Washington"
Cockrum's Grey Shrew,Eulipotyphla,Soricidae,Notiosorex cockrumi,Arizona
Collared Peccary,Artiodactyla,Tayassuidae,Pecari tajacu,"Arizona, New Mexico, Oklahoma, Texas"
Collared Pika,Lagomorpha,Ochotonidae,Ochotona collaris,Alaska
Colorado Chipmunk,Rodentia_other,Sciuridae,Tamias quadirivittatus,"Arizona, Colorado, New Mexico, Oklahoma, Texas, Utah"
Columbian Ground Squirrel,Rodentia_other,Sciuridae,Urocitellus columbianus,"Idaho, Montana, Oregon, Washington"
Common Minke Whale,Artiodactyla,Balaenopteridae,Balaenoptera acutorostrata,"Alabama, Alaska, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Common Muskrat,Rodentia,Cricetidae,Ondatra zibethicus,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
